"Node","Node_ID","Node_Name","Node_Order","Node_Type","Downstream_Node","Latitude","Longitude","County"
8002110,8002110,DEER CR MIN FLOW,0,StreamGage,8000784,39.550092,-105.631175,PARK
8002111,8002111,ELK CR MIN FLOW,0,StreamGage,8000829_D,39.546387,-105.559449,PARK
0801124,0801124,HAYLAND DITCH,0,StreamGage,0801125,39.551479,-105.126170,JEFFERSON
2302910,2302910,OHLER GULCH NEAR JEFFERS,0,StreamGage,2302910_A,39.390078,-105.829215,PARK
06731000,06731000,ST. VRAIN CREEK AT MOUTH,0,StreamGage,0200828,40.258038,-104.879700,WELD
06_WSHED,06_WSHED,Watershed reservoir,0,StreamGage,0602125,,,
06727000,06727000,BOULDER CREEK NEAR ORODE,0,StreamGage,0602124_LD,40.006374,-105.330826,BOULDER
0602107,0602107,MIDDLE BOULDER CR MIN FL,0,StreamGage,06725500,39.952819,-105.602421,BOULDER
06725500,06725500,MIDDLE BOULDER CREEK AT,0,StreamGage,0602107_DWN,39.961655,-105.504440,BOULDER
06727500,06727500,FOURMILE CREEK AT ORODEL,0,StreamGage,0600603,40.018667,-105.326250,BOULDER
0600599,0600599,BOULDER CITY PL,0,StreamGage,0602124_U,40.012882,-105.557389,BOULDER
0600527,0600527,GODDING DAILEY PLUMB D,0,StreamGage,0600663,40.093335,-105.054350,WELD
06_BC_N,06_BC_N,BEAR CREEK NATURAL FLOW,0,StreamGage,0600753,,,
06730200,06730200,BOULDER CREEK AT NORTH 7,0,StreamGage,0602100_DWN,40.051652,-105.178875,BOULDER
06764000,06764000,SOUTH PLATTE RIVER AT JU,0,StreamGage,6499999,40.974995,-102.251854,SEDGWICK
