Node_ID,Node_Name,Node_Type
0801414,BIRMINGHAM DITCH,DIV
0801416,GOODRICH DITCH,DIV
0801417,ROCKY RIDGE DITCH,DIV
0801492,IZZARD DITCH,DIV
0802300,Bi-City WWTP,DIV
08_ADP002,WD8 CherryCk Agg SW Divn,DIV
08_ADP003,WD8 SPR Agg SW Divn,DIV
08_ADP004,WD8 Plum Ck Agg SW Divn,DIV
08_Aurora_I,AuroraIndoorDem,DIV
08_Aurora_O,AuroraOutdoorDem,DIV
08_Denver_I,DenverIndoorDem,DIV
08_Denver_O,DenverOutdoorDem,DIV
08_Englwd_I,EnglewoodIndoorDem,DIV
08_Englwd_O,EnglewoodOutdoorDem,DIV
0900535,BERGEN DITCH,DIV
0900731_D,Arnett/Harriman Ditch,DIV
0900752,HODGSON DITCH,DIV
0900767,INDEPENDENT HIGHLINE DIT,DIV
0900816,MCBROOM DITCH,DIV
0900903,WARRIOR/HARRIMAN D TK CR,DIV
0900958,WARD DITCH,DIV
0900963_D,Warrior/Harriman Ditch,DIV
0901700,Martson WTP,DIV
09_ADP003,WD9 Agg SW Divn,DIV
09_AMP001_I,WD9 Lower Agg Muni In,DIV
09_AMP001_O,WD9 Lower Agg Muni Out,DIV
09_AUP001_I,WD9 Lower Agg Uninc In,DIV
09_AUP001_O,WD9 Lower Agg Uninc Out,DIV
2003,FordRechargeDivn,DIV
2300500,PLATTE STATION DITCH,DIV
2300760,SACRAMENTO DITCH,DIV
2300902,PETRIE DITCH,DIV
2300904,LINK DITCH,DIV
2300922,HOLST DITCH 2,DIV
2300923,HOLST PACKER D,DIV
2300924,HOLST DITCH 1,DIV
2300926,PACKER BONIS DITCH,DIV
2300991,TAYLOR DITCH,DIV
2300993,GIBSON DITCH,DIV
2300994,CROSIER TAYLOR DITCH,DIV
2302900,SOUTH FORK OF SOUTH PLAT,DIV
2302900_A,2302900 Aug Stn,DIV
2302901,FOUR MILE CREEK NEAR HAR,DIV
2302901_A,2302901 Aug Stn,DIV
2302902,MIDDLE FORK SOUTH PLATTE,DIV
2302902_A,2302902 Aug Stn,DIV
2302903,SOUTH PLATTE RIVER ABOVE,DIV
2302903_A,2302903 Aug Stn,DIV
2302904,FOUR MILE AT HIGH CREEK,DIV
2302904_A,2302904 Aug Stn,DIV
2302905,Beery Ditch,DIV
2302906,TARRYALL CREEK AT US 285,DIV
2302906_A,2302906 Aug Stn,DIV
2302907,MICHIGAN CREEK ABOVE JEF,DIV
2302907_A,2302907 Aug Stn,DIV
2302908,JEFFERSON CREEK NEAR JEF,DIV
2302908_A,2302908 Aug Stn,DIV
2302909,TARRYALL CREEK AT BORDEN,DIV
2302909_A,2302909 Aug Stn,DIV
2302910,OHLER GULCH NEAR JEFFERS,DIV
2302910_A,Ohler Aug Stn,DIV
2302911,TROUT CREEK NEAR GARO,DIV
2302911_A,2302911 Aug Stn,DIV
2302912,SPRING BRANCH ABOVE CONF,DIV
2302912_A,2302912 Aug Stn,DIV
2302913,MIDDLE FORK SOUTH PLATTE,DIV
2302913_A,2302913 Aug Stn,DIV
2302914,FRENCH CREEK ABOVE CONFL,DIV
2302914_A,2302914 Aug Stn,DIV
2302915,ROCK CREEK ABOVE CONFLUE,DIV
2302915_A,2302915 Aug Stn,DIV
2302916,SCHATTINGER FLUME ABOVE,DIV
2302916_A,2302916 Aug Stn,DIV
2302917,JEFFERSON CREEK BELOW SY,DIV
2302917_A,2302917 Aug Stn,DIV
2302918,DIXON FLUME ON HOLLTHUSE,DIV
2302918_A,2302918 Aug Stn,DIV
2304611,Boreas Pass Ditch,DIV
2304611_C,Boreas Pass Divn,DIV
23_ADP001,WD23 Tarryall Agg SW Div,DIV
23_ADP002,WD23 SPR Agg SW Divn,DIV
23_AMP001_I,WD23 Upper Agg Muni In,DIV
23_AMP001_O,WD23 Upper Agg Muni Out,DIV
23_AUP001_I,WD23 Upper Agg Uninc In,DIV
23_AUP001_O,WD23 Upper Agg Uninc Out,DIV
23_AUP002_I,WD23 Lower Agg Uninc In,DIV
23_AUP002_O,WD23 Lower Agg Uninc Out,DIV
3700,EastGravelLakesDivn,DIV
6400501,CARLSON DITCH,DIV
6400502,LIDDLE DITCH,DIV
6400503,SOUTH RESERVATION DITCH,DIV
6400504,PETERSON DITCH,DIV
6400506,RED LION SUPPLY DITCH,DIV
6400507,LONG ISLAND DITCH,DIV
6400508,SETTLERS DITCH,DIV
6400511_D,Harmony Div System,DIV
6400511_I,Harmony Irrigation,DIV
6400513,CHAMBERS DITCH,DIV
6400514,RAMSEY DITCH,DIV
6400516,POWELL BLAIR DITCH,DIV
6400518,LONE TREE DITCH,DIV
6400519,JUD BRUSH DITCH,DIV
6400520,ILIFF PLATTE VALLEY D,DIV
6400522_D,Bravo Div System,DIV
6400524,LOWLINE DITCH,DIV
6400525,HENDERSON SMITH DITCH,DIV
6400526,STERLING IRR CO DITCH 2,DIV
6400528,STERLING IRR CO DITCH 1,DIV
6400530,SPRINGDALE DITCH,DIV
6400531,SCHNEIDER DITCH,DIV
6400532,DAVIS BROS DITCH,DIV
6400533,PAWNEE DITCH,DIV
6400535,SOUTH PLATTE DITCH,DIV
6400542,MCWILLIAMS CANAL,DIV
6400584,I O JONES DITCH & RESERV,DIV
6400599,RICE DITCH,DIV
6400643,HEYBORNE LIFT STATION,DIV
6400801,COTTONWOOD CR RCHRG PUMP,DIV
6403551_Ced,Cedar to Sterling,DIV
6403551_Paw,Pawnee to Sterling,DIV
8000650,WANITA DITCH,DIV
8000651,HALL VALLEY DITCH,DIV
8000653,Roberts Tunnel,DIV
8000653_A,RobTun Aug Stn,DIV
8000653_C,Roberts Tunnel Divn,DIV
8000657_D,Hepburn Ranch,DIV
8000662_D,Fitzsimmons Ranch,DIV
8000667,SOUTH SIDE DITCH,DIV
8000673_D,Herford Ranch,DIV
8000706,BEAVER CREEK DITCH,DIV
8000713,KENOSHA DITCH,DIV
8000732_D,Camp Santa Maria,DIV
8000759,MCARTHUR DITCH,DIV
8000760,WINKLER DITCH 1,DIV
8000761,WINKLER DITCH 3,DIV
8000774_D,Berger Ranch,DIV
8000784,JEFFRIES CRAWFORD DITCH,DIV
8000785,WONDER DITCH,DIV
8000792,PARMALEE DITCH 2 & 3,DIV
8000794,FLUME DITCH,DIV
8000799_D,Deer Creek Ranch,DIV
8000812,CLIFFORD GULCH DITCH,DIV
8000829_D,Magnus Ranch,DIV
8000831_D,State Parks Ranch,DIV
80_ADP001,WD80 NF SPR Agg SW Divn,DIV
AurThEff,Aur WWTP to Thornton,DIV
BCSC,BOULDER CR SUPPLY CANAL,DIV
BerthGold1,GoldSpringBerthoudDivn,DIV
BerthGold2,GoldSummerBerthoudDivn,DIV
BerthNglenn,NglennBerthoudDivn,DIV
Bri_WWTP,Brighton WWTP,DIV
BypReturn,UnusedBypExchWtrCarrier,DIV
Cond15_PL,Denver Conduit 15 water,DIV
Conduit15,Denver Conduit 15,DIV
CosmicRel,WGL Nov1 Release,DIV
DW_ReusePL,DW Reuse PL to Cherokee,DIV
FoothillsWTP,Foothills WTP,DIV
HOMSPICO,Homestake Pipeline,DIV
HOMSPICO_C,Homestake Pipeline Divn,DIV
Manifold,Chatfield Manifold,DIV
MetPump_PL,MetroPumpsPipeline,DIV
Metro_Pumps,MetroPumpsHistDivns,DIV
Metro_WWTP,Metro WWTP,DIV
MoffatWTP,Moffat WTP,DIV
Nglenn_WWTP,Northglenn WWTP,DIV
PCWA_WWTP,Plum Ck Wtr Auth WWTP,DIV
SAC_WWTP,SACWSD WWTP,DIV
SPDMSPSC,CBT,DIV
SPLk_Pump,South Platte Lake Pump,DIV
SWSP_C,CBT SWSP Carrier,DIV
SandCk_WWTP,Aurora WWTP,DIV
SandHill_C,SandHillPlanDiv,DIV
WesBrownWTP,Wes Brown WTP,DIV
Westy_WWTP,Westy WWTP,DIV
0402110,BIG T OLYMPUS/DRAKE M FL,ISF
0402112,LOVELAND PWR-DILLE M FL,ISF
0404128_M,Min Bypass Oly,ISF
0502115,S ST VRAIN CR MIN FLOW,ISF
0502120,MID ST VRAIN CR MIN FLOW,ISF
0502127,S ST VRAIN CR MIN FLOW 2,ISF
0502128,N ST VRAIN CR MIN FLOW 2,ISF
0502129,S ST VRAIN CR MIN FLOW 3,ISF
0602100,BOULDER CREEK MSF SEG C,ISF
0602107,MIDDLE BOULDER CREEK MSF,ISF
0602110_L,SOUTH BOULDER CREEK MSF,ISF
0602110_U,SOUTH BOULDER CREEK MSF,ISF
0602124_L,BOULDER CREEK MSF SEG B,ISF
0602124_U,BOULDER CREEK MSF SEG B,ISF
0602125,BOULDER CREEK MSF SEG A,ISF
06_BARKMSF,BARKER 3CFS BYPASS,ISF
0701000,Golden WhiteWater Course,ISF
0702109,Upper Clear Ck ISF,ISF
0702113,Leavenworth Ck ISF,ISF
0702118,WEST FK CLEAR CR MIN FL,ISF
0902115,BEAR CR MIN FLOW,ISF
1982_MinFlow,DWB 1982 Strontia Bypass,ISF
2302103,SO FORK SO PLATTE MIN FL,ISF
2302107,TARRYALL CREEK UPPER MIN,ISF
2302116,JEFFERSON CK MIN FLOW,ISF
2302118,MICHIGAN CREEK MIN FLOW,ISF
2302119,TARRYALL CREEK MIN FLOW,ISF
2302123,FOURMILE CREEK MIN FLOW,ISF
2302148,MID FK S PLATTE MIN FLOW,ISF
6499999,South Platte Compact,ISF
8002110,DEER CR MIN FLOW,ISF
8002111,ELK CR MIN FLOW,ISF
0102513_Rn,N Rothe Recharge Res,RES
0102513_Rs,S Rothe Recharge Res,RES
0102518_R,Pioneer Recharge Res,RES
0102522_R,Riverside Recharge Res,RES
0102528_R,Ft Morgan Canal Recharge,RES
0102529_R,Upper PB Recharge Res,RES
0102535_R,Lower PB Recharge Res,RES
0103339_R,Bijou Aug Recharge Res,RES
0103570,Bijou Res,RES
0103592,HenrylynReservoirSystem,RES
0103651,Riverside Res,RES
0103816,Empire Res,RES
0103817,Jackson Res,RES
01_ARP001,WD 1 Agg Res,RES
01_ASP001,WD 1 Agg Stock Res,RES
0200808_RB,FulBri WR RA,RES
0200808_RC,FulCen WR RA,RES
0200808_RS,FulSAC WR RA,RES
0200810_RC,BriCen WR RA,RES
0200810_RS,BriSAC WR RA,RES
0200812_RC,LBCen WR RA,RES
0200812_RS,LBSAC WR RA,RES
0200813_RC,PVCen WR RA,RES
0200821_RS,MI1SAC WR RA,RES
0200824_R,Farmers Independent Rech,RES
0200824_RC,FIDCOCen WR RA,RES
0200825_R,Hewes Cook Recharge,RES
